PAID_WAGE_PER_YEAR_Binned	CASE_STATUS	EMPLOYER_NAME	EDUCATION_LEVEL_REQUIRED	COLLEGE_MAJOR_REQUIRED	EXPERIENCE_REQUIRED_NUM_MONTHS	COUNTRY_OF_CITIZENSHIP	WORK_STATE	PREVAILING_WAGE_PER_YEAR	PAID_WAGE_PER_YEAR	JOB_TITLE_SUBGROUP
15	2	1212	2	marketing	0.0	IRAN	CALIFORNIA	0.0	91440.0	1
46	0	1	1	computer science, electrical engineering	0.0	INDIA	CALIFORNIA	209102.0	250000.0	0
38	1	1	1	computer science, electrical engineering, or a related field	0.0	INDIA	CALIFORNIA	209102.0	209102.0	0
38	0	14	0	electronic eng, computer sci, computer eng, imaging or related field	60.0	FRANCE	CALIFORNIA	209102.0	209102.0	0
38	0	82	3	medicine	0.0	JAPAN	MICHIGAN	206410.0	206410.0	1
51	0	2088	3	law	0.0	TURKEY	TEXAS	203466.0	275000.0	5
36	0	909	1	computer science, engineering or closely related	72.0	INDIA	NEW YORK	195208.0	195208.0	0
35	1	8	0	computer science	72.0	CHINA	CALIFORNIA	190258.0	190258.0	0
38	1	1	0	computer science, computer engineering, or related field	0.0	CHILE	NEW YORK	188843.0	210000.0	0
34	1	2825	0	tech/business w/ a spec in comp sci, cyber secur or mgmt info sys	120.0	AUSTRALIA	NEW YORK	188843.0	188843.0	2
34	1	605	1	comp sci, comp engineering, or a related engineering discipline	84.0	INDIA	NEW JERSEY	188843.0	188843.0	2
46	0	86	3	medicine	0.0	LEBANON	FLORIDA	188793.0	250000.0	1
51	0	1459	3	medicine	0.0	INDIA	PENNSYLVANIA	187199.0	275000.0	1
34	3	508	1	computer science	0.0	INDIA	CALIFORNIA	186555.0	186555.0	0
34	0	508	1	computer science	0.0	INDIA	CALIFORNIA	186555.0	186555.0	0
33	0	2708	0	economics	0.0	JAPAN	CALIFORNIA	184683.0	184683.0	2
33	0	37	0	comp. sci.,engin(any),business,math,physics,or related technical field	24.0	INDIA	CALIFORNIA	183872.0	183872.0	0
40	1	1	0	software engineering, computer science, or a related field	0.0	CANADA	CALIFORNIA	179504.0	220000.0	0
32	0	37	0	comp. sci., engin,(any), business, math, physics, or related tech field	24.0	INDIA	CALIFORNIA	179504.0	179504.0	0
35	1	396	3	medicine	0.0	GERMANY	COLORADO	174300.0	193625.0	1
32	1	557	3	medicine	0.0	INDIA	PENNSYLVANIA	174220.0	180000.0	1
32	0	557	3	medicine	0.0	INDIA	PENNSYLVANIA	174220.0	177000.0	1
40	0	2260	3	medicine	0.0	SYRIA	NEW YORK	172760.0	220000.0	1
31	1	2368	1	business administration	60.0	PHILIPPINES	TEXAS	172203.0	172203.0	2
30	1	141	1	computer science	60.0	INDIA	NEW JERSEY	168875.0	168875.0	0
30	3	37	1	mathematics	0.0	ISRAEL	NEW JERSEY	168875.0	168875.0	0
30	1	2199	0	business administration (w/ underlying bachelor's degree in architecture	0.0	CHINA	NEW YORK	168334.0	168334.0	7
30	1	2208	0	computer science, or related field	36.0	INDIA	CALIFORNIA	166067.0	170000.0	0
42	0	1739	2	law	0.0	CANADA	NEW YORK	165693.0	230000.0	5
38	0	2018	3	law	0.0	CANADA	NEW YORK	165693.0	210000.0	5
52	1	1147	3	bachelor of laws (juris doctor equivalent)	0.0	SINGAPORE	NEW YORK	165651.0	280000.0	5
49	1	832	3	law	0.0	ARGENTINA	NEW YORK	165651.0	265000.0	5
35	1	2851	3	law	36.0	GERMANY	NEW YORK	165651.0	195000.0	5
30	1	1735	0	law	0.0	ISRAEL	NEW YORK	165651.0	165651.0	5
30	0	2811	3	law	12.0	HONG KONG	NEW YORK	165651.0	165651.0	5
30	0	2568	0	law	36.0	JAPAN	NEW YORK	165651.0	165651.0	5
29	3	818	2	risk management	0.0	GERMANY	NEW YORK	164900.25	164900.25	1
29	0	818	2	risk management	0.0	GERMANY	NEW YORK	164900.25	164900.25	1
29	3	8	0	computer science	36.0	CANADA	CALIFORNIA	164403.0	164403.0	0
37	1	826	0	computer science or electrical engineering	0.0	CHINA	CALIFORNIA	163134.0	205000.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	73	1	computer science, engineering (any), business, mis or related	60.0	INDIA	TEXAS	161782.0	161782.0	0
29	0	2694	3	law	0.0	CHINA	NEW YORK	161699.0	161699.0	5
54	0	146	3	medicine	0.0	MALAYSIA	ARIZONA	160943.0	290000.0	1
38	0	146	3	medicine	0.0	INDIA	ARIZONA	160943.0	210000.0	1
32	1	146	3	medicine	0.0	INDIA	ARIZONA	160280.0	180000.0	1
28	1	2287	3	law	0.0	CHINA	DISTRICT OF COLUMBIA	159786.0	160000.0	5
44	0	2075	1	computer science, or related field	96.0	RUSSIA	CALIFORNIA	159390.0	240000.0	0
33	0	373	1	engineering	120.0	UNITED KINGDOM	CALIFORNIA	159390.0	185000.0	0
28	0	2352	3	law	12.0	CHINA	CALIFORNIA	156312.0	156312.0	5
30	1	8	0	computer science	36.0	ROMANIA	CALIFORNIA	155308.0	169000.0	0
27	1	8	0	computer science	48.0	INDIA	CALIFORNIA	154304.0	155000.0	0
29	0	1	0	comp. sci., comp. eng., systems eng., or a related field	24.0	CANADA	CALIFORNIA	152901.0	165000.0	0
27	0	10	0	comp sci, engineering, math, physics or related field	24.0	INDIA	CALIFORNIA	152901.0	152901.0	0
48	0	61	1	engineering, computer science, computer engineering, or related field	96.0	INDIA	CALIFORNIA	152776.0	260000.0	0
30	0	1	2	computer science, engineering, or related field	12.0	JAPAN	CALIFORNIA	152776.0	165930.0	0
29	0	317	1	computer engineering, computer science, electrical engineering or related field	60.0	EGYPT	CALIFORNIA	152776.0	165000.0	0
29	0	353	1	computer engineering, computer science, or computer information systems	0.0	INDIA	CALIFORNIA	152776.0	164808.0	0
27	0	10	0	comp sci, engineering, math, physics or related field	48.0	CHINA	CALIFORNIA	152776.0	155000.0	0
27	3	10	0	comp sci, engineering, math, physics, or related field	60.0	CHINA	CALIFORNIA	152776.0	155000.0	0
27	0	2873	1	cs, computer engineering, cs & engineering or related field	60.0	INDIA	CALIFORNIA	152776.0	154999.92	0
27	0	834	1	computer engineering or equivalent	60.0	CANADA	CALIFORNIA	152776.0	153000.0	0
27	0	108	1	computer science, computer engineering, information technology, or a related field	60.0	INDIA	CALIFORNIA	152776.0	152777.0	0
27	0	1157	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	177	1	bus administration	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	14	1	electronic eng, computer science or related field	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	12	1	computer science or related field	0.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	120	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	120	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	120	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	349	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	177	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	120	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	120	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	614	1	computer engineering	0.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	349	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	120	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	640	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	364	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	1185	0	computer science, electrical eng'g, or related technical field	72.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	2	364	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	3	2750	0	computer science	72.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	449	1	computer science	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	14	1	computer engineering or related field	0.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	295	1	engineering	96.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	0	37	1	comp. sci., engin,(any), business, math, physics, or rel technical field	60.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	3	14	1	computer science or related field	0.0	INDIA	CALIFORNIA	152776.0	152776.0	0
27	1	2887	3		0.0	CHINA	NEW YORK	151674.0	151674.0	5
42	1	1042	3	medicine	0.0	INDIA	PENNSYLVANIA	150440.0	227000.0	1
42	1	1042	3	medicine	0.0	INDIA	PENNSYLVANIA	150440.0	227000.0	1
26	2	58	0	computer science, engineering (any), it, business or related	0.0	INDIA	NEW JERSEY	149157.0	149157.0	0
26	0	58	0	computer science, engineering (any), it, business or related	0.0	INDIA	NEW JERSEY	149157.0	149157.0	0
26	0	58	0	computer science, engineering (any), it, business or related	0.0	NEW ZEALAND	NEW JERSEY	149157.0	149157.0	0
26	0	58	0	computer science, engineering (any), it, business or related	0.0	INDIA	NEW JERSEY	149157.0	149157.0	0
26	0	58	0	computer science, engineering (any), it, business or related	0.0	INDIA	NEW JERSEY	149157.0	149157.0	0
26	0	58	0	computer science, engineering (any), it, business or related	0.0	INDIA	NEW JERSEY	149157.0	149157.0	0
26	0	58	0	computer science, engineering (any), it, business or related	0.0	INDIA	NEW JERSEY	149157.0	149157.0	0
34	0	41	1	computer science, electrical engineering, computer engineering, or a related field	120.0	INDIA	CALIFORNIA	148803.0	190000.0	0
31	0	94	1	comp. sci., comp. eng., mechanical eng., electrical/electronic eng. or closely rel. field	60.0	CHINA	CALIFORNIA	148803.0	175000.0	0
29	0	108	1	computer science	72.0	SOUTH KOREA	CALIFORNIA	148803.0	165000.0	0
28	0	1986	4		84.0	PAKISTAN	CALIFORNIA	148803.0	158000.0	0
28	0	1	0	comp. sci., elec. eng., or a related field	36.0	INDIA	CALIFORNIA	148803.0	156000.0	0
27	0	1092	0	computer science	0.0	INDIA	CALIFORNIA	148803.0	155000.0	0
27	0	14	0	computer science or related field	0.0	INDIA	CALIFORNIA	148803.0	155000.0	0
27	0	2	0	elec. &/or comp. eng., or scie., or related scie., or engr. discipline	36.0	INDIA	CALIFORNIA	148803.0	152000.0	0
27	0	2	0	elect/elec. &/or comp. eng., or scie., or rltd scie., or engr. disc	36.0	CHINA	CALIFORNIA	148803.0	152000.0	0
26	0	2	1	elect/elec. &/or comp. eng., or scie., or rltd scie., or engr. disc	60.0	CANADA	CALIFORNIA	148803.0	150000.0	0
26	0	2	1	elec. &/or comp. eng., or scie., or related scie., or engr. discipline	60.0	NORWAY	CALIFORNIA	148803.0	150000.0	0
26	0	2	1	elect/elec. &/or comp. eng., or sci., or rltd sci., or eng. disc	60.0	INDIA	CALIFORNIA	148803.0	150000.0	0
26	3	2	0	elect/elec. and/or comp. eng., or scie., or related scie., or engr. discipline	36.0	FRANCE	CALIFORNIA	148803.0	150000.0	0
26	0	108	0	computer science	48.0	INDIA	CALIFORNIA	148803.0	150000.0	0
26	0	41	1	computer engineering, computer science, or a related field	72.0	INDIA	CALIFORNIA	148803.0	148804.0	0
26	0	0	1	computer engg./science, electronics and comm. engg., or rel. field	60.0	INDIA	CALIFORNIA	148803.0	148803.0	0
26	0	0	1	computer science, computer engg., electrical engg., or related field	60.0	INDIA	CALIFORNIA	148803.0	148803.0	0
26	0	1	1	computer science, engineering, or a related field	60.0	POLAND	CALIFORNIA	148803.0	148803.0	0
